% 1. Title : cyclus.spam.train
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-11-25
@RELATION BUGGY
@ATTRIBUTE Comment STRING
@ATTRIBUTE classification {clean,buggy}

@DATA
" Removed svn:executable property from files that probably should not be executable. This is mostly aestheic in my opinion but could be perceived as a security issue I imagine.  Anyway files that should not be executable inclue *.cpp *.h *.txt *.xml and others. It may be worth checking that your default file permissions do not include the executable option. The way to do this on a unix/linux system is by setting umask in your .bashrc file to something like -rw-r--r-- (umask 002) or -rw-rw---- (umask 022). The default on the CAE machines seems to be 022 which is fine.  I know my settings were wrong for a while so I'm at fault for many of these files having been executables early on but it's also the case that I've seen more files popping up recently with executable permissions so I thought I'd wipe it clean and mention it here in the hopes that we can keep it clean going forward.",clean
" Adds radiuses to Component class schema.",clean
" Realigns misaligned tabs in the test input files.",clean
" Completed HDF5 table loading function for Conditioning facility and added an appropriate example input file and hdf5 file.",buggy
" This commit is intended to fix a bug in which our dlopen / dlsym paradigm is incompatible with the nature of Windows dynamic loading . PLEASE CHECK that this configuration change still works on your machine. Use a clean build directory reconfigure rebuild and run.  For details on the whys and the hows see http://en.wikipedia.org/wiki/Dynamic_loading#In_C.2FC.2B.2B .  This has not yet been tested on either LINUX or windows systems. It has only been tested on my mac. It will be tested on windows soon but again PLEASE CHECK. This will contribute to issue104.",buggy
" Fixes a typo in naming the backend.",buggy
" Fixed message passing bug where messages were sent directly to sender instead of through hierarchy. Removed obsolete execute method on Message class.  Cleaned up Message class clone method to use default copy constructor.  Markets should never create new message - they should only use the clone method.  This allows for the preservation of the path the message traveled.  So using the clone method allows the newly created messages to still 'know' how to get back home.  Consolidated Message class constructors. Other minor housekeeping.",buggy
" Added some geometry to the component class.",clean
" added a sloppy start to the channel concept described in issue 112.",buggy
" fixed compile failure inroduced in r487.",clean
" Added lots of doxygen documentation for the logger (it got it's own page.  Added link to logger documentation to doxygen main page (had to create mainpage documentation file (mainpage.dox).",buggy
" Finalizes layout initialization in GenericRepository. issue72.",buggy
" WINDOWS: This may fix some issues recently encountered with building in Windondows.",clean
" added some bookkeeping.",buggy
" Finer time granularity was added in the following way: * the Timer now uses boost::gregorian to keep track of the current day and month * the Timer sends ticks tocks and resolves on the first day of the month ** we can change this so that resolve/tocks are sent on other days * then for each day (including the first) the Timer sends a new function called sendDailyTasks ** currently the sending tree mirrors the tick/tock tree ** we may want to add a set of daily listeners much like we have tick listeners to explicitly determine the listeners  NOTE: FacilityModel is failing the receieve message test. It was failing this test on a clean checkout before this commit so we should figure out which commit caused the fail and fix it.",buggy
" Some quick documentation revisions as caught by katy from r493",clean
" moved sendTock() to last day of the month",clean
" killed old runSim comment",clean
" Implements the database creation for the GenericRepository. Also irons out some bugs in geometric initialization paradigm. This addresses Issue73.",clean
" Windows Fix:  This should fix the following recently encountered error (and it's ilk):  LEV_ERROR: cyclus exception : Unable to load model shared object file: cyclus/Models/MarketStubMarket.dll",clean
" Added template for tutorial and link to it from mainpage.",clean
" added getting building running styleguide a docdoc page and an outline on the mainpage.",clean
" here are the files I forgot to add to r500.",clean
" moved InstModel info from wiki to InstModel.h doxygen",clean
" FixedInst wiki info moved to FixedInst.h via doxygen documentation.",buggy
